Date,Price,Load,Solar,Wind,Price_CH,Price_DE_LU_15min,Price_AT_15min,Temp,Hum
12/1/2020 0:00,37.02,9579.5,0,2852,42.63,32.545,38.1675,7.4515,93.054596
12/1/2020 1:00,36.21,9260.5,0,2854,41.06,32,37.8875,7.5515,87.4537
12/1/2020 2:00,35.66,9068,0,2871,39.73,32,37.55,7.0515,86.49869
12/1/2020 3:00,35.63,9102.75,0,2931,39.27,33.4825,37.25,6.5015,89.20278
12/1/2020 4:00,38.14,9581.5,0,3011,43.06,37.0875,39.95,6.2015,92.342476
12/1/2020 5:00,42.14,10684.25,0,3059,49.36,43.8575,44.735,7.2015,91.13323
12/1/2020 6:00,53.78,11660.75,0,3085,57.54,55.5125,58.5,7.2015,91.4488
12/1/2020 7:00,52.12,11912,7,3117,63.3,63.265,64.5375,7.5515,89.9074
12/1/2020 8:00,60.03,11936.5,78,3170,64.25,63,63.8425,7.6015,90.53385
12/1/2020 9:00,64.07,11838.25,172,3202,63.92,63.43,62.1775,8.0515,88.41045
12/1/2020 10:00,63.75,11877.5,227,3211,62.56,62.725,60.745,8.0515,89.63669
12/1/2020 11:00,60.96,11699.5,252,3223,61.7,62.735,61.7,7.9014997,87.48652
12/1/2020 12:00,63.07,11680.75,260,3198,62.97,63.74,63.2925,8.2015,83.67038
12/1/2020 13:00,61.47,11606.5,214,3122,63.57,62.9975,64.33,8.2515,82.23851
12/1/2020 14:00,60.88,11708.25,106,3066,67.25,65.53,66.1075,8.3515,79.44289
12/1/2020 15:00,62.06,11898.75,14,3026,72.62,68.5575,71.69,8.3015,78.335785
12/1/2020 16:00,77.98,12432.25,0,2915,84.17,82.635,85.145,7.8015,80.1985
12/1/2020 17:00,75.25,12323,0,2846,80.82,78.865,81.095,7.5515,81.00847
12/1/2020 18:00,66.32,11844.25,0,2765,71.54,71.4325,73.15,7.6514997,81.02216
12/1/2020 19:00,57.66,11307.5,0,2660,61.53,60.535,62.78,7.4014997,84.159096
12/1/2020 20:00,53.14,10707,0,2484,54.94,53.0775,55.0375,7.3015,87.43018
12/1/2020 21:00,50.13,10682.25,0,2279,53.06,52.255,52.34,7.3015,90.19974
12/1/2020 22:00,47.13,10496.25,0,2076,49.42,47.87,48.71,7.1015,92.39546
12/1/2020 23:00,47.5,9588.75,0,1757,47.68,47.13,47.27,6.5515,94.30394
12/2/2020 0:00,46.27,9189,0,1023,45.23,45.1075,45.9025,6.0515,93.95448
12/2/2020 1:00,44.71,8930.25,0,574,43.69,43.3525,44.58,5.9515,92.97351
12/2/2020 2:00,43.42,8750.5,0,356,43.1,43.055,43.1975,5.8015,93.942696
12/2/2020 3:00,44.56,8805.25,0,172,44.06,44.325,44.355,5.8515,93.61838
12/2/2020 4:00,47.49,9277,0,121,47.22,48.0025,48.2,5.9014997,93.62087
12/2/2020 5:00,58.58,10412.25,0,80,57.42,59.8375,59.545,5.8515,93.945045
12/2/2020 6:00,83.67,11412.75,0,65,80.93,82.3875,84.4975,5.8515,94.27273
12/2/2020 7:00,105.46,11670.75,9,36,92.07,91.5975,91.82,5.7015,94.92515
12/2/2020 8:00,105.42,11689.5,92,14,87.03,87.0275,85.605,5.7515,94.59718
12/2/2020 9:00,100.06,11616.25,202,8,82.18,80.545,83.5075,6.0015,92.65293
12/2/2020 10:00,95.19,11607.25,271,35,79.78,79.1125,82.575,6.2015,91.38292
12/2/2020 11:00,84.95,11371,289,121,77.3,77.1225,79.5375,6.3015,90.12477
12/2/2020 12:00,82.9,11377.25,264,213,76.07,75.875,77.0525,7.0015,81.21748
12/2/2020 13:00,90,11268.25,195,194,77.55,77.6575,78.28,6.9515,80.07726
12/2/2020 14:00,88.09,11336,91,111,83.51,85.1,87.055,6.8515,81.769455
12/2/2020 15:00,105.4,11600.5,9,229,91.51,91.685,98.3075,6.6514997,83.19142
12/2/2020 16:00,110.56,12174.75,0,297,102.25,100.9875,99.9975,5.7015,90.07938
12/2/2020 17:00,99.03,12111,0,454,94.34,97.17,93.62,5.5515,91.660095
12/2/2020 18:00,77.79,11699.75,0,613,77.79,79.5575,78.275,5.8515,90.40651
12/2/2020 19:00,64,11152.25,0,672,63.52,64.4825,62.0775,6.0015,90.417534
12/2/2020 20:00,55.55,10542,0,705,55.25,54.8025,56.64,6.1514997,90.42853
12/2/2020 21:00,50.73,10485.75,0,731,51.12,49.615,52.9275,6.0015,92.33063
12/2/2020 22:00,45.44,10298.5,0,697,46.62,44.7575,46.36,5.7515,92.63869
12/2/2020 23:00,37.2,9739.25,0,999,46.24,43.01,45.24,5.6015,89.12865
12/3/2020 0:00,37.91,9243.25,0,976,43.77,40.0125,41.795,5.0015,90.66247
12/3/2020 1:00,34.79,8975.5,0,802,43.01,38.43,40.82,5.2515,86.927475
12/3/2020 2:00,34,8817.5,0,586,41.09,37.625,38.9975,5.7515,85.76074
12/3/2020 3:00,36.11,8910.25,0,557,41.1,38.4075,39.7675,5.8515,85.469986
12/3/2020 4:00,40.82,9421.25,0,711,45.07,41.6575,45.1175,5.7515,85.158485
12/3/2020 5:00,53.55,10541.25,0,835,54.08,48.245,54.36,5.7515,86.06329
12/3/2020 6:00,59.99,11569.75,0,962,63.21,62.235,64.545,5.7515,89.14106
12/3/2020 7:00,62.57,11871.5,5,931,71.86,69.1375,67.1025,5.8015,91.35636
12/3/2020 8:00,66.11,11922.5,54,1221,69.72,65.1625,65.3875,6.0015,91.369644
12/3/2020 9:00,62.57,11872,127,1141,67.26,63.4675,65.175,6.1015,91.37628
12/3/2020 10:00,63,11885.75,172,1808,65.34,62.1025,63.5525,6.2015,91.06503
12/3/2020 11:00,61.63,11670,174,2431,61.91,59.1025,61.9225,6.1514997,90.74458
12/3/2020 12:00,58.6,11682,155,2568,60.8,57.6025,61.1325,5.4515,92.621544
12/3/2020 13:00,56.04,11523.5,111,2648,62,57.1025,59.205,5.9014997,89.46617
