Date,Price,Wind_onshore,Load,Price_CH,Price_DE_LU_15min,Price_AT_15min,Temp,Hum
12/1/2020 0:00,12.42,719,10387,42.63,32.545,38.1675,0.415,93.67995
12/1/2020 1:00,12.41,595,10299,41.06,32,37.8875,0.565,93.00839
12/1/2020 2:00,12.54,479,10307,39.73,32,37.55,0.815,91.346725
12/1/2020 3:00,12.91,384,10430,39.27,33.4825,37.25,0.515,92.33063
12/1/2020 4:00,38.43,317,10922,43.06,37.0875,39.95,0.515,91.65999
12/1/2020 5:00,56.03,287,12094,49.36,43.8575,44.735,0.415,92.32456
12/1/2020 6:00,73.25,286,13102,57.54,55.5125,58.5,0.415,92.661766
12/1/2020 7:00,75.57,310,13269,63.3,63.265,64.5375,0.565,92.333664
12/1/2020 8:00,119.94,336,13202,64.25,63,63.8425,0.765,92.01055
12/1/2020 9:00,70.25,353,13258,63.92,63.43,62.1775,1.015,92.36086
12/1/2020 10:00,71.58,360,13254,62.56,62.725,60.745,1.365,91.05348
12/1/2020 11:00,86.45,355,13230,61.7,62.735,61.7,1.815,89.130516
12/1/2020 12:00,82.81,350,13177,62.97,63.74,63.2925,1.7149999,93.407776
12/1/2020 13:00,75.59,359,13231,63.57,62.9975,64.33,1.5150001,97.17115
12/1/2020 14:00,119.93,386,13507,67.25,65.53,66.1075,1.4649999,98.22284
12/1/2020 15:00,147.97,389,13644,72.62,68.5575,71.69,1.4649999,98.57602
12/1/2020 16:00,149.94,356,13691,84.17,82.635,85.145,1.565,98.93118
12/1/2020 17:00,77.8,311,13470,80.82,78.865,81.095,1.615,98.931625
12/1/2020 18:00,71.38,252,13173,71.54,71.4325,73.15,1.7149999,98.932495
12/1/2020 19:00,60.66,191,12794,61.53,60.535,62.78,1.565,99.6426
12/1/2020 20:00,55.47,132,12280,54.94,53.0775,55.0375,1.7149999,99.643036
12/1/2020 21:00,50.16,90,11652,53.06,52.255,52.34,1.815,99.643326
12/1/2020 22:00,37.64,82,11066,49.42,47.87,48.71,1.615,99.642746
12/1/2020 23:00,16.03,132,10429,47.68,47.13,47.27,1.615,99.642746
12/2/2020 0:00,14.64,189,10239,45.23,45.1075,45.9025,1.615,99.28662
12/2/2020 1:00,14.21,253,10159,43.69,43.3525,44.58,1.5150001,99.28604
12/2/2020 2:00,14.03,323,10185,43.1,43.055,43.1975,1.365,99.285164
12/2/2020 3:00,14.71,380,10347,44.06,44.325,44.355,1.165,98.927704
12/2/2020 4:00,42.73,433,10848,47.22,48.0025,48.2,1.015,98.570786
12/2/2020 5:00,63.02,490,12016,57.42,59.8375,59.545,0.965,98.570206
12/2/2020 6:00,83.67,555,13016,80.93,82.3875,84.4975,0.965,98.570206
12/2/2020 7:00,105.46,609,13175,92.07,91.5975,91.82,1.065,98.57137
12/2/2020 8:00,105.42,669,13100,87.03,87.0275,85.605,1.115,99.283714
12/2/2020 9:00,86.08,701,13149,82.18,80.545,83.5075,1.7149999,97.52486
12/2/2020 10:00,95.19,696,13119,79.78,79.1125,82.575,2.315,96.842964
12/2/2020 11:00,84.95,687,13077,77.3,77.1225,79.5375,2.9650002,94.47737
12/2/2020 12:00,82.9,685,13015,76.07,75.875,77.0525,3.015,96.860634
12/2/2020 13:00,90,705,13054,77.55,77.6575,78.28,2.9650002,96.17343
12/2/2020 14:00,88.09,752,13311,83.51,85.1,87.055,2.865,94.473
12/2/2020 15:00,105.4,808,13458,91.51,91.685,98.3075,2.315,93.438965
12/2/2020 16:00,99.94,853,13488,102.25,100.9875,99.9975,2.565,93.11802
12/2/2020 17:00,83.57,890,13241,94.34,97.17,93.62,2.4650002,92.77955
12/2/2020 18:00,41.86,930,12937,77.79,79.5575,78.275,2.7150002,94.12976
12/2/2020 19:00,22.25,975,12532,63.52,64.4825,62.0775,2.615,99.645645
12/2/2020 20:00,17.45,1030,11988,55.25,54.8025,56.64,2.615,95.479225
12/2/2020 21:00,14.84,1093,11331,51.12,49.615,52.9275,2.665,92.45938
12/2/2020 22:00,12.54,1151,10738,46.62,44.7575,46.36,2.665,86.9821
12/2/2020 23:00,9.23,1234,10231,46.24,43.01,45.24,2.665,80.90788
12/3/2020 0:00,8.48,1293,10047,43.77,40.0125,41.795,2.7150002,76.610535
12/3/2020 1:00,8.19,1343,9984,43.01,38.43,40.82,2.865,73.61212
12/3/2020 2:00,8.35,1381,10016,41.09,37.625,38.9975,2.7150002,74.94649
12/3/2020 3:00,8.94,1401,10186,41.1,38.4075,39.7675,2.565,76.866165
12/3/2020 4:00,12.9,1415,10708,45.07,41.6575,45.1175,2.565,77.99837
12/3/2020 5:00,17.9,1414,11890,54.08,48.245,54.36,2.665,77.44668
12/3/2020 6:00,46.71,1393,12909,63.21,62.235,64.545,2.615,77.43856
12/3/2020 7:00,61.07,1373,13103,71.86,69.1375,67.1025,2.4650002,77.41418
12/3/2020 8:00,54.32,1380,13060,69.72,65.1625,65.3875,2.2150002,78.228615
12/3/2020 9:00,46.53,1397,13137,67.26,63.4675,65.175,2.165,76.79966
12/3/2020 10:00,55.08,1391,13151,65.34,62.1025,63.5525,2.365,75.43653
12/3/2020 11:00,49.83,1362,13124,61.91,59.1025,61.9225,2.665,74.11743
12/3/2020 12:00,56.74,1327,13087,60.8,57.6025,61.1325,2.765,85.129974
12/3/2020 13:00,54.39,1288,13132,62,57.1025,59.205,2.4650002,89.184944
12/3/2020 14:00,52.59,1267,13437,60.01,55.67,59.92,2.615,86.97714
12/3/2020 15:00,51.7,1276,13591,59.41,54.6275,59.605,3.065,84.85727
12/3/2020 16:00,55.06,1289,13640,62.54,55.85,61.5475,3.415,83.684654
12/3/2020 17:00,46.59,1295,13394,61.94,51.4075,60.24,3.815,80.77694
12/3/2020 18:00,24.59,1287,13070,59.26,43.6175,58.28,3.9650002,75.43987
12/3/2020 19:00,18.9,1265,12655,54.84,38.32,55.3875,4.065,70.16267
12/3/2020 20:00,18.33,1243,12096,52.02,33.9,50.6725,3.115,83.346825
12/3/2020 21:00,16.18,1221,11433,49.57,30.2075,47.13,2.515,87.59698
12/3/2020 22:00,13,1217,10813,46.9,29.135,39.7025,2.2150002,91.770615
12/3/2020 23:00,10.98,1119,10399,44,28.23,43.555,2.515,93.11531
12/4/2020 0:00,10.68,1107,10164,41.65,25.7025,41.695,1.815,100
12/4/2020 1:00,10.53,1084,10058,39.99,21.1,39.055,1.865,100
12/4/2020 2:00,10.5,1061,10036,39.48,19.315,38.135,2.015,100
12/4/2020 3:00,10.54,1028,10139,39.09,19.985,38.1275,2.4650002,99.6452
12/4/2020 4:00,12.96,974,10577,43.78,27.5375,41.5075,2.865,99.646355
12/4/2020 5:00,16.82,911,11681,50.05,31.78,49.4875,3.415,95.507904
12/4/2020 6:00,32.6,856,12675,54.02,37.1125,56.7125,3.9650002,93.854965
12/4/2020 7:00,39.78,817,12880,55.78,41.1875,58.1175,4.165,93.86461
12/4/2020 8:00,38.65,789,12838,59.95,40.93,57.13,4.415,93.546394
12/4/2020 9:00,35.89,765,12876,60.42,40.96,56.6975,4.8650002,90.015594
12/4/2020 10:00,41.55,734,12848,59.73,41.515,56.95,4.965,88.76191
12/4/2020 11:00,39.74,701,12799,58.37,42.0425,56.005,4.765,89.05907
12/4/2020 12:00,39.43,680,12676,58.32,43.0025,54.99,3.665,99.64864
12/4/2020 13:00,43.91,691,12594,55.77,45.4325,53.5475,3.2150002,99.64736
12/4/2020 14:00,51.22,733,12701,55.6,46.91,53.97,3.115,99.64709
12/4/2020 15:00,54.54,765,12778,55.73,52.975,55.8825,3.165,100
12/4/2020 16:00,62.82,772,12740,60.57,58.915,60.2325,3.415,99.647934
12/4/2020 17:00,53.73,758,12428,62.99,58.33,60.75,4.015,99.64965
12/4/2020 18:00,29.03,731,12007,60.95,53.57,59.5625,4.415,99.650764
12/4/2020 19:00,20.27,695,11543,56.08,50.45,54.73,4.765,99.30458
12/4/2020 20:00,19.48,654,11027,52.86,47.985,50.84,4.915,99.65217
12/4/2020 21:00,18.47,609,10535,50.3,47,49.61,5.015,99.65245
12/4/2020 22:00,16.62,563,10076,46.55,44.185,45.2575,5.165,99.65286
12/4/2020 23:00,18.65,433,9836,47.03,42.69,45.0475,5.265,100
12/5/2020 0:00,18.05,412,9606,43.61,40.7375,43.6225,5.415,97.59717
12/5/2020 1:00,17.06,408,9473,41.94,39.2825,42.3675,5.3650002,99.65342
12/5/2020 2:00,16.77,403,9414,40.53,38.995,40.5275,5.415,100
12/5/2020 3:00,16.83,397,9441,39.99,38.805,40,5.6150002,97.601006
12/5/2020 4:00,17.47,382,9548,41.61,39.21,42.11,5.565,97.600044
12/5/2020 5:00,18.47,377,9823,44.21,39.1125,44.0025,5.715,97.602905
12/5/2020 6:00,18.39,385,10203,49.99,41.7675,49.3425,5.915,97.60671
12/5/2020 7:00,19.86,418,10624,51.73,45.94,50.905,6.065,96.93592
12/5/2020 8:00,21.86,464,11009,53.38,49.3025,53.5125,6.1150002,96.93713
12/5/2020 9:00,21.94,508,11257,52.94,50.185,53.2,6.465,95.94594
12/5/2020 10:00,22.57,550,11369,52.79,51.0125,52.6975,6.6150002,95.61991
12/5/2020 11:00,22.11,603,11399,52.52,50.4775,52.3825,6.665,94.963295
12/5/2020 12:00,20.99,668,11333,51.68,49.595,51.3225,6.3650002,95.61132
12/5/2020 13:00,20.81,747,11324,51.72,50.185,50.7975,6.465,94.62724
12/5/2020 14:00,21,835,11521,52.34,51.88,52.76,6.415,94.62515
12/5/2020 15:00,22.43,902,11688,54.21,53.7175,55.02,6.3650002,95.28088
12/5/2020 16:00,22.11,924,11680,61.52,59.215,62.11,6.665,94.30897
12/5/2020 17:00,21.49,909,11471,61.21,59.9475,62.0875,6.815,93.02036
